name,constituency_code,type,country_name,country_code,region_name,region_code,polling_on,valid_vote_count,majority,population_count
Glasgow North,S14000085,Burgh,Scotland,S92000003,,,2019-12-12,41539,5582,73210
Glasgow North East,S14000086,Burgh,Scotland,S92000003,,,2019-12-12,42673,4277,75236
Glasgow South,S14000087,Burgh,Scotland,S92000003,,,2019-12-12,48548,9151,71344
Glasgow South West,S14000088,Burgh,Scotland,S92000003,,,2019-12-12,43023,5533,70431
Glasgow West,S14000089,Burgh,Scotland,S92000003,,,2019-12-12,47262,9728,72499
Glastonbury and Somerton,E14001247,County,England,E92000001,South West,E12000009,2019-12-12,53194,14183,70015
Glenrothes and Mid Fife,S14000090,County,Scotland,S92000003,,,2019-12-12,42278,9352,69734
Gloucester,E14001248,Borough,England,E92000001,South West,E12000009,2019-12-12,51093,9880,76695
Godalming and Ash,E14001249,County,England,E92000001,South East,E12000008,2019-12-12,55674,10720,71399
Goole and Pocklington,E14001250,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,49901,22302,76337
Gordon and Buchan,S14000091,County,Scotland,S92000003,,,2019-12-12,47591,3224,70238
Gorton and Denton,E14001251,Borough,England,E92000001,North West,E12000002,2019-12-12,45828,22175,74306
Gosport,E14001252,Borough,England,E92000001,South East,E12000008,2019-12-12,48453,23278,73763
Gower,W07000097,County,Wales,W92000004,,,2019-12-12,54231,3181,76801
Grantham and Bourne,E14001253,County,England,E92000001,East Midlands,E12000004,2019-12-12,48852,22393,72071
Gravesham,E14001254,County,England,E92000001,South East,E12000008,2019-12-12,47560,15581,72866
Great Grimsby and Cleethorpes,E14001255,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,41675,9759,77050
Great Yarmouth,E14001256,County,England,E92000001,East of England,E12000006,2019-12-12,43462,17663,70077
Greenwich and Woolwich,E14001257,Borough,England,E92000001,London,E12000007,2019-12-12,47340,15283,69824
Guildford,E14001258,County,England,E92000001,South East,E12000008,2019-12-12,52584,3117,71367
Hackney North and Stoke Newington,E14001259,Borough,England,E92000001,London,E12000007,2019-12-12,51356,29162,75401
Hackney South and Shoreditch,E14001260,Borough,England,E92000001,London,E12000007,2019-12-12,47817,30141,75197
